evidence_id,case_id,domain,subdomain,claim,source_org,source_type,source_url,publication_time,time_precision,contemporaneous_status,cutoff_use,pressure_or_stabilizer,affected_group,observation_role,provenance_status,evidence_quality,notes
MM-EV-001,myanmar_post_coup,POLITICAL_AND_INSTITUTIONAL,PRE_COUP_TENSION,"A Reuters report dated 29 January 2021 described heightened tension and concern about a possible military coup before 1 February.",Reuters,NEWS_REPORT,https://www.reuters.com/world/asia-pacific/myanmar-army-flexes-muscles-suu-kyis-government-begins-second-term-2021-01-29/,2021-01-29,DAY,DIRECT_CONTEMPORANEOUS,ADMISSIBLE_AFTER_PUBLICATION,PRESSURE,National political system,UNDERLYING_PROCESS_SIGNAL,DIRECT,MEDIUM_HIGH,"News reporting is evidence of contemporaneously visible tension, not proof that a coup was inevitable."
MM-EV-002,myanmar_post_coup,SOCIAL_AND_ECONOMIC,COVID_COUP_POVERTY_COMPOUNDING,"UNDP warned in April 2021 that the combined effects of COVID-19 and the coup could push a very large number of people below the national poverty line.",UNDP Myanmar,OFFICIAL_ANALYSIS,https://myanmar.un.org/en/126028-covid-19-coup-detat-and-poverty-compounding-negative-shocks-and-their-impact-human,2021-04,MONTH,DIRECT_CONTEMPORANEOUS,ADMISSIBLE_AFTER_PUBLICATION,PRESSURE,Households and vulnerable groups,CROSS_DOMAIN_PRESSURE_SIGNAL,DIRECT,HIGH,"Exact publication day should be rechecked before snapshot-level ingestion. Projection is not a realized-outcome measurement."
MM-EV-003,myanmar_post_coup,RESOURCE_SUSTAINMENT,MILITARY_BUSINESS_BASE,"US Treasury described MEHL and MEC as major economic resources of the military regime when sanctioning them in March 2021.",US Department of the Treasury,OFFICIAL_RELEASE,https://home.treasury.gov/news/press-releases/jy0078,2021-03-25,DAY,DIRECT_CONTEMPORANEOUS,ADMISSIBLE_AFTER_PUBLICATION,RESOURCE_CAPACITY,Military state apparatus,RESOURCE_STRUCTURE_SIGNAL,DIRECT,HIGH,"Corporate resource capacity does not establish expenditure on a specific operation."
MM-EV-004,myanmar_post_coup,RESOURCE_SUSTAINMENT,GEMS_REVENUE_BASE,"US Treasury action in April 2021 identified Myanma Gems Enterprise as an important state-controlled gems-sector entity connected to regime revenue.",US Department of the Treasury,OFFICIAL_RELEASE,https://home.treasury.gov/news/press-releases,2021-04-08,DAY,DIRECT_CONTEMPORANEOUS,ADMISSIBLE_AFTER_PUBLICATION,RESOURCE_CAPACITY,Military state apparatus,RESOURCE_STRUCTURE_SIGNAL,URL_RECHECK_REQUIRED,MEDIUM_HIGH,"Specific Treasury release URL should be recovered before final ingestion; claim retained as reviewed source seed only."
MM-EV-005,myanmar_post_coup,RESOURCE_SUSTAINMENT,TIMBER_AND_PEARL_REVENUE_BASE,"US Treasury sanctions in April 2021 targeted state-owned timber and pearl enterprises as revenue-generating entities associated with the regime.",US Department of the Treasury,OFFICIAL_RELEASE,https://home.treasury.gov/news/press-releases,2021-04-21,DAY,DIRECT_CONTEMPORANEOUS,ADMISSIBLE_AFTER_PUBLICATION,RESOURCE_CAPACITY,Military state apparatus,RESOURCE_STRUCTURE_SIGNAL,URL_RECHECK_REQUIRED,MEDIUM_HIGH,"Specific release URL must be recovered before final snapshot use."
MM-EV-006,myanmar_post_coup,ECONOMY,MACROECONOMIC_CONTRACTION,"World Bank reported in July 2021 that Myanmar's economy was expected to contract by around 18 percent in FY2021 amid political turmoil and pandemic-related disruption.",World Bank,OFFICIAL_REPORT,https://www.worldbank.org/en/news/press-release/2021/07/23/myanmar-economy-expected-to-contract-by-18-percent-in-fy2021-report,2021-07-23,DAY,DIRECT_CONTEMPORANEOUS,ADMISSIBLE_AFTER_PUBLICATION,PRESSURE,Households firms workers and state,ECONOMIC_PRESSURE_SIGNAL,DIRECT,HIGH,"Forecast/estimate should not be treated as exact realized GDP outcome."
MM-EV-007,myanmar_post_coup,RESOURCE_SUSTAINMENT,MILITARY_CORPORATE_NETWORK,"UN Fact-Finding Mission reported in 2019 on extensive military business interests through MEHL/MEC before the 2021 coup.",OHCHR / UN Fact-Finding Mission,OFFICIAL_UN_REPORT,https://bangkok.ohchr.org/news/2019/news-release-un-fact-finding-mission-myanmar-exposes-military-business-ties-calls,2019-08-05,DAY,CONTEMPORANEOUS_HISTORICAL_CONTEXT,ADMISSIBLE_AS_PREEXISTING_CONTEXT,RESOURCE_CAPACITY,Tatmadaw and military-linked business network,RESOURCE_STRUCTURE_SIGNAL,DIRECT,HIGH,"Pre-coup structural evidence; does not prove funding of a particular 2021 action."
MM-EV-008,myanmar_post_coup,RESOURCE_SUSTAINMENT,JADE_CONFLICT_ECONOMY,"Global Witness documented military-linked and armed-actor interests in Myanmar's jade economy before the coup.",Global Witness,INVESTIGATIVE_REPORT,https://globalwitness.org/en/campaigns/conflict-resources/cursed-treasure-report/section-one-overview/,2019-04-23,DAY,CONTEMPORANEOUS_HISTORICAL_CONTEXT,ADMISSIBLE_AS_PREEXISTING_CONTEXT,RESOURCE_CAPACITY,Military-linked and selected armed actors,RESOURCE_STRUCTURE_SIGNAL,DIRECT,MEDIUM_HIGH,"Actor relationships differ by territory; cannot be generalized to all resistance groups."
MM-EV-009,myanmar_post_coup,ARMED_RESISTANCE,POST_COUP_ARMED_FORMATION,"A later OHCHR report reconstructs the emergence of local defence forces and later organization of anti-coup armed resistance during 2021.",OHCHR,RETROSPECTIVE_UN_REPORT,https://www.ohchr.org/sites/default/files/documents/countries/mm/2023-01-27/crp-sr-myanmar-2023-01-31.pdf,2023-01-31,DAY,RETROSPECTIVE_ONLY,FORBIDDEN_AS_2021_CONTEMPORANEOUS_INPUT,CONTEXT,Anti-coup resistance groups,RETROSPECTIVE_HISTORICAL_CONTEXT,DIRECT,HIGH,"Useful for outcome reconstruction and source discovery, not as evidence supposedly visible at an earlier cutoff."
MM-EV-010,myanmar_post_coup,INFORMATION_ECOLOGY,INTERNET_SHUTDOWN_AND_ACCESS,"OHCHR reporting documents internet restrictions and blocking of social-media access after the coup, changing both social communication and observability of events.",OHCHR,OFFICIAL_HUMAN_RIGHTS_REPORT,https://www.ohchr.org/,2021,UNKNOWN,RECHECK_REQUIRED,NOT_ADMISSIBLE_UNTIL_DATE_AND_SOURCE_RECOVERED,PRESSURE_AND_OBSERVATION_BIAS,Internet users civil society and observers,OBSERVATION_PROCESS_SIGNAL,SOURCE_RECHECK_REQUIRED,UNKNOWN,"This row is intentionally quarantined until the exact contemporaneous source and publication date are recovered."
