item_id,case_id,cutoff_scope,coded_direction,coded_strength,coding_reason,supporting_item_ids,coder_version,ambiguity_status,status
RU-EV-007-001,russia_ukraine_2021_2022,AFTER_2021_12_23,+1,2,"Curated monitoring shows sustained targeting of Ukraine inside the observed dataset; does not establish population exposure or belief.",RU-EV-007-001,FIRST_LEDGER_V1,MEDIUM,FROZEN_FIRST_CODE
RU-EV-007-003,russia_ukraine_2021_2022,AFTER_2021_12_06,+1,1,"Specific anti-Ukraine narrative is directly documented; reach and behavioral effect remain unknown.",RU-EV-007-003,FIRST_LEDGER_V1,MEDIUM,FROZEN_FIRST_CODE
RU-EV-007-005,russia_ukraine_2021_2022,AFTER_2022_01_24,-1,1,"Institutional resilience/countermeasure exists, but effectiveness is not demonstrated.",RU-EV-007-005,FIRST_LEDGER_V1,MEDIUM,FROZEN_FIRST_CODE
RU-EV-007-006,russia_ukraine_2021_2022,PRE_2022_02_24,0,0,"Retrospective-only synthesis is excluded from pre-invasion directional state.",RU-EV-007-006,FIRST_LEDGER_V1,LOW,FROZEN_FIRST_CODE_EXCLUDED
MM-EV-003-001,myanmar_post_coup,AFTER_2021_03_16,+1,2,"Observed food/fuel price pressure across monitored markets is substantial, but not a household prevalence estimate.",MM-EV-003-001,FIRST_LEDGER_V1,LOW_MEDIUM,FROZEN_FIRST_CODE
MM-EV-003-003,myanmar_post_coup,AFTER_2021_03_16,+1,2,"Banking/remittance/cash access disruption materially increases system pressure; informal channels remain incompletely observed.",MM-EV-003-003,FIRST_LEDGER_V1,MEDIUM,FROZEN_FIRST_CODE
MM-EV-003-004,myanmar_post_coup,AFTER_2021_03_16,-1,1,"Contingency food stocks are a real buffer but do not prove adequate coverage or stabilization.",MM-EV-003-004,FIRST_LEDGER_V1,MEDIUM,FROZEN_FIRST_CODE
MM-EV-003-005,myanmar_post_coup,AFTER_2021_04_22,+1,2,"Evidence combines field observations with a forward projection; observed household stress is substantial while projected totals are not treated as observed prevalence.",MM-EV-003-005,FIRST_LEDGER_V1,HIGH,FROZEN_FIRST_CODE
MM-EV-003-007,myanmar_post_coup,EARLY_2021_CUTOFFS,0,0,"Year-end displacement synthesis is excluded from early cutoffs.",MM-EV-003-007,FIRST_LEDGER_V1,LOW,FROZEN_FIRST_CODE_EXCLUDED
MM-EV-003-008,myanmar_post_coup,AFTER_2021_06_21,0,0,"Sensor existence is verified, but no numeric displacement value is imported.",MM-EV-003-008,FIRST_LEDGER_V1,LOW,FROZEN_FIRST_CODE_UNKNOWN_NUMERIC
